FollowUp_ID,Lead_ID,FollowUp_Date,Mode,Purpose,Outcome
FU020840,LEAD07833,2025-01-17,WhatsApp,Booking Confirmation,Neutral
FU020841,LEAD07833,2025-02-02,Payment Discussion,Payment Follow-up,Interested
FU020842,LEAD07833,2025-02-13,Call,Re-engagement,No Response
FU020843,LEAD07833,2025-02-22,Meeting,Document Collection,Requested Callback
FU020844,LEAD07833,2025-02-28,WhatsApp,Booking Confirmation,Requested Callback
FU020845,LEAD07833,2025-03-28,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU020846,LEAD07834,2024-02-14,Call,Introduction,No Response
FU020847,LEAD07835,2024-11-14,Call,Introduction,Interested
FU020848,LEAD07836,2025-05-18,Email,Introduction,No Response
FU020849,LEAD07837,2024-08-08,WhatsApp,Introduction,Not Interested
FU020850,LEAD07837,2024-08-12,Call,Post-Visit Feedback,Interested
FU020851,LEAD07837,2024-08-22,Loan Assistance,Loan Guidance,Interested
FU020852,LEAD07837,2024-09-01,Call,Introduction,Requested Callback
FU020853,LEAD07837,2024-09-16,Email,Price Negotiation,No Response
FU020854,LEAD07837,2024-09-29,Call,Document Collection,Not Interested
FU020855,LEAD07837,2024-10-18,Payment Discussion,Payment Follow-up,Converted
FU020856,LEAD07837,2024-10-18,Payment Discussion,Payment Follow-up,Converted
FU020857,LEAD07838,2026-01-19,Payment Discussion,Payment Follow-up,No Response
FU020858,LEAD07838,2026-01-19,Payment Discussion,Payment Follow-up,No Response
FU020859,LEAD07838,2026-01-19,Payment Discussion,Payment Follow-up,No Response
FU020860,LEAD07838,2026-02-14,Call,Interest Check,Interested
FU020861,LEAD07838,2026-03-04,Email,Introduction,Neutral
FU020862,LEAD07839,2026-09-16,WhatsApp,Introduction,Requested Callback
FU020863,LEAD07839,2026-09-16,WhatsApp,Introduction,Requested Callback
FU020864,LEAD07839,2026-09-25,Call,Site Visit Invitation,No Response
FU020865,LEAD07839,2026-09-25,Call,Site Visit Invitation,No Response
FU020866,LEAD07840,2026-12-31,Loan Assistance,Loan Guidance,Interested
FU020867,LEAD07841,2026-12-31,Call,Introduction,No Response
FU020868,LEAD07841,2026-12-31,Call,Introduction,No Response
FU020869,LEAD07842,2026-08-14,Site Visit Reminder,Site Visit Invitation,Interested
FU020870,LEAD07842,2026-08-14,Site Visit Reminder,Site Visit Invitation,Interested
FU020871,LEAD07842,2026-08-27,WhatsApp,Payment Follow-up,Interested
FU020872,LEAD07843,2026-12-28,Call,Introduction,Requested Callback
FU020873,LEAD07844,2024-02-19,Call,Introduction,Requested Callback
FU020874,LEAD07845,2025-03-23,WhatsApp,Introduction,Not Interested
FU020875,LEAD07845,2025-04-04,WhatsApp,Re-engagement,Interested
FU020876,LEAD07845,2025-05-02,WhatsApp,Document Collection,Interested
FU020877,LEAD07845,2025-05-02,WhatsApp,Document Collection,Interested
FU020878,LEAD07845,2025-05-10,WhatsApp,Payment Follow-up,Interested
FU020879,LEAD07845,2025-06-05,WhatsApp,Interest Check,Neutral
FU020880,LEAD07846,2025-09-15,WhatsApp,Introduction,Interested
FU020881,LEAD07846,2025-09-15,WhatsApp,Introduction,Interested
FU020882,LEAD07846,2025-10-02,Site Visit Reminder,Site Visit Invitation,Neutral
FU020883,LEAD07846,2025-10-16,WhatsApp,Loan Guidance,No Response
FU020884,LEAD07846,2025-11-11,Call,Re-engagement,Interested
FU020885,LEAD07847,2024-12-24,Meeting,Introduction,Requested Callback
FU020886,LEAD07847,2025-01-07,WhatsApp,Re-engagement,Neutral
FU020887,LEAD07848,2024-07-31,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU020888,LEAD07848,2024-08-11,Call,Re-engagement,Neutral
FU020889,LEAD07848,2024-08-30,Payment Discussion,Payment Follow-up,Interested
FU020890,LEAD07848,2024-09-28,Call,Interest Check,Neutral
FU020891,LEAD07849,2024-12-06,Call,Introduction,No Response
FU020892,LEAD07850,2025-04-05,WhatsApp,Introduction,No Response
FU020893,LEAD07851,2025-07-27,Loan Assistance,Loan Guidance,No Response
FU020894,LEAD07851,2025-07-27,Loan Assistance,Loan Guidance,No Response
FU020895,LEAD07851,2025-07-31,WhatsApp,Price Negotiation,Interested
FU020896,LEAD07851,2025-07-31,WhatsApp,Price Negotiation,Interested
FU020897,LEAD07851,2025-08-06,Email,Document Collection,Interested
FU020898,LEAD07851,2025-08-10,Site Visit Reminder,Site Visit Invitation,Neutral
FU020899,LEAD07851,2025-08-25,Call,Price Negotiation,Requested Callback
FU020900,LEAD07851,2025-08-25,Call,Price Negotiation,Requested Callback
FU020901,LEAD07851,2025-09-01,Loan Assistance,Loan Guidance,Neutral
FU020902,LEAD07851,2025-09-09,Meeting,Price Negotiation,Interested
FU020903,LEAD07851,2025-09-18,Payment Discussion,Payment Follow-up,Requested Callback
FU020904,LEAD07852,2025-11-06,Call,Introduction,Not Interested
FU020905,LEAD07852,2025-11-12,WhatsApp,Introduction,Not Interested
FU020906,LEAD07853,2025-05-26,WhatsApp,Introduction,Neutral
FU020907,LEAD07853,2025-06-11,WhatsApp,Loan Guidance,No Response
FU020908,LEAD07853,2025-07-03,Call,Site Visit Invitation,Interested
FU020909,LEAD07854,2025-06-28,Loan Assistance,Loan Guidance,Neutral
FU020910,LEAD07855,2026-02-23,WhatsApp,Introduction,Interested
FU020911,LEAD07855,2026-03-12,Email,Payment Follow-up,Neutral
FU020912,LEAD07855,2026-03-19,Call,Document Collection,Requested Callback
FU020913,LEAD07855,2026-04-15,WhatsApp,Interest Check,Interested
FU020914,LEAD07856,2024-12-12,Call,Introduction,Not Interested
FU020915,LEAD07856,2024-12-23,Call,Interest Check,Not Interested
FU020916,LEAD07856,2024-12-23,Call,Interest Check,Not Interested
FU020917,LEAD07857,2026-10-17,Payment Discussion,Payment Follow-up,Neutral
FU020918,LEAD07857,2026-10-31,Call,Document Collection,Interested
FU020919,LEAD07857,2026-11-11,Loan Assistance,Loan Guidance,Converted
FU020920,LEAD07858,2025-09-13,Call,Introduction,Requested Callback
FU020921,LEAD07859,2026-09-26,Call,Introduction,Not Interested
FU020922,LEAD07860,2024-12-29,WhatsApp,Introduction,Interested
FU020923,LEAD07861,2025-11-02,Call,Introduction,Not Interested
FU020924,LEAD07861,2025-11-12,Meeting,Site Visit Invitation,Requested Callback
FU020925,LEAD07861,2025-11-12,Meeting,Site Visit Invitation,Requested Callback
FU020926,LEAD07862,2026-01-24,WhatsApp,Introduction,No Response
FU020927,LEAD07862,2026-02-17,WhatsApp,Introduction,Not Interested
FU020928,LEAD07863,2025-06-21,WhatsApp,Introduction,Not Interested
FU020929,LEAD07863,2025-07-05,Loan Assistance,Loan Guidance,Not Interested
FU020930,LEAD07864,2025-03-15,Call,Introduction,Interested
FU020931,LEAD07864,2025-03-28,WhatsApp,Post-Visit Feedback,Requested Callback
FU020932,LEAD07865,2026-09-03,Call,Introduction,Requested Callback
FU020933,LEAD07865,2026-09-17,Site Visit Reminder,Site Visit Invitation,No Response
FU020934,LEAD07865,2026-09-26,Call,Interest Check,No Response
FU020935,LEAD07865,2026-10-13,Call,Site Visit Invitation,Neutral
FU020936,LEAD07865,2026-10-13,Call,Site Visit Invitation,Neutral
FU020937,LEAD07865,2026-11-10,Call,Payment Follow-up,Interested
FU020938,LEAD07865,2026-11-25,Email,Re-engagement,Not Interested
FU020939,LEAD07866,2026-02-15,Call,Introduction,Interested
FU020940,LEAD07866,2026-03-02,WhatsApp,Booking Confirmation,Neutral
FU020941,LEAD07867,2024-10-16,WhatsApp,Introduction,Requested Callback
FU020942,LEAD07868,2025-08-14,WhatsApp,Introduction,Interested
FU020943,LEAD07868,2025-08-21,Call,Price Negotiation,Interested
FU020944,LEAD07868,2025-09-06,WhatsApp,Price Negotiation,No Response
FU020945,LEAD07868,2025-09-18,WhatsApp,Booking Confirmation,Neutral
FU020946,LEAD07869,2026-04-18,Meeting,Introduction,Not Interested
FU020947,LEAD07869,2026-05-07,Call,Introduction,Requested Callback
FU020948,LEAD07869,2026-05-13,Call,Price Negotiation,Not Interested
FU020949,LEAD07870,2026-07-29,Call,Introduction,No Response
FU020950,LEAD07870,2026-08-09,Payment Discussion,Payment Follow-up,Interested
FU020951,LEAD07870,2026-08-31,WhatsApp,Post-Visit Feedback,No Response
FU020952,LEAD07871,2026-09-03,Call,Introduction,Requested Callback
FU020953,LEAD07871,2026-09-11,Call,Price Negotiation,Requested Callback
FU020954,LEAD07871,2026-09-11,Call,Price Negotiation,Requested Callback
FU020955,LEAD07871,2026-10-02,WhatsApp,Re-engagement,Neutral
FU020956,LEAD07872,2026-07-16,Site Visit Reminder,Site Visit Invitation,Not Interested
FU020957,LEAD07872,2026-08-14,Payment Discussion,Payment Follow-up,Not Interested
FU020958,LEAD07873,2024-05-20,Email,Introduction,Not Interested
FU020959,LEAD07874,2025-12-29,Email,Introduction,Neutral
FU020960,LEAD07874,2026-01-27,Call,Re-engagement,Not Interested
FU020961,LEAD07874,2026-02-20,Payment Discussion,Payment Follow-up,Not Interested
FU020962,LEAD07874,2026-03-10,Loan Assistance,Loan Guidance,Not Interested
FU020963,LEAD07875,2024-02-21,Call,Introduction,Requested Callback
FU020964,LEAD07876,2024-09-22,Site Visit Reminder,Site Visit Invitation,Interested
FU020965,LEAD07876,2024-10-11,Call,Document Collection,Requested Callback
FU020966,LEAD07877,2025-08-30,Meeting,Introduction,Not Interested
FU020967,LEAD07878,2025-05-05,WhatsApp,Introduction,No Response
FU020968,LEAD07878,2025-05-14,WhatsApp,Re-engagement,Neutral
FU020969,LEAD07878,2025-05-27,WhatsApp,Introduction,Neutral
FU020970,LEAD07878,2025-05-31,Call,Introduction,Requested Callback
FU020971,LEAD07878,2025-06-17,Call,Introduction,Neutral
FU020972,LEAD07878,2025-06-25,Call,Interest Check,No Response
FU020973,LEAD07878,2025-07-03,Payment Discussion,Payment Follow-up,Converted
FU020974,LEAD07879,2025-11-25,Site Visit Reminder,Site Visit Invitation,Neutral
FU020975,LEAD07879,2025-12-15,Email,Introduction,Not Interested
FU020976,LEAD07879,2025-12-30,Call,Document Collection,Requested Callback
FU020977,LEAD07879,2026-01-17,WhatsApp,Loan Guidance,Interested
FU020978,LEAD07880,2026-10-31,WhatsApp,Introduction,Neutral
FU020979,LEAD07880,2026-11-16,Call,Booking Confirmation,No Response
FU020980,LEAD07880,2026-11-27,Call,Payment Follow-up,Requested Callback
FU020981,LEAD07880,2026-12-04,Payment Discussion,Payment Follow-up,Interested
FU020982,LEAD07880,2026-12-04,Payment Discussion,Payment Follow-up,Interested
FU020983,LEAD07880,2026-12-22,Payment Discussion,Payment Follow-up,Converted
FU020984,LEAD07881,2026-12-31,Call,Introduction,Interested
FU020985,LEAD07882,2025-10-17,WhatsApp,Introduction,No Response
FU020986,LEAD07883,2024-12-25,Call,Introduction,Interested
FU020987,LEAD07883,2025-01-08,Call,Site Visit Invitation,Neutral
FU020988,LEAD07883,2025-01-24,Call,Booking Confirmation,Converted
FU020989,LEAD07884,2024-08-12,WhatsApp,Introduction,Interested
FU020990,LEAD07884,2024-09-03,Call,Site Visit Invitation,Interested
FU020991,LEAD07884,2024-09-25,Loan Assistance,Loan Guidance,Requested Callback
FU020992,LEAD07885,2026-12-15,WhatsApp,Introduction,Interested
FU020993,LEAD07885,2026-12-15,WhatsApp,Introduction,Interested
FU020994,LEAD07886,2024-12-20,WhatsApp,Introduction,Neutral
FU020995,LEAD07886,2024-12-28,Call,Post-Visit Feedback,Neutral
FU020996,LEAD07886,2025-01-16,Call,Interest Check,Neutral
FU020997,LEAD07886,2025-01-24,Call,Booking Confirmation,Requested Callback
FU020998,LEAD07887,2026-02-22,Site Visit Reminder,Site Visit Invitation,Interested
FU020999,LEAD07887,2026-03-06,Meeting,Re-engagement,Neutral
FU021000,LEAD07887,2026-03-17,Call,Introduction,Interested
FU021001,LEAD07888,2026-04-16,Payment Discussion,Payment Follow-up,Not Interested
FU021002,LEAD07889,2026-06-24,WhatsApp,Introduction,Not Interested
FU021003,LEAD07890,2024-09-07,Site Visit Reminder,Site Visit Invitation,Neutral
FU021004,LEAD07890,2024-09-14,WhatsApp,Payment Follow-up,No Response
FU021005,LEAD07890,2024-09-21,Payment Discussion,Payment Follow-up,Interested
FU021006,LEAD07890,2024-10-15,WhatsApp,Booking Confirmation,No Response
FU021007,LEAD07890,2024-11-02,WhatsApp,Interest Check,Interested
FU021008,LEAD07890,2024-11-24,Email,Re-engagement,Neutral
FU021009,LEAD07890,2024-11-24,Email,Re-engagement,Neutral
FU021010,LEAD07891,2024-01-23,Site Visit Reminder,Site Visit Invitation,Neutral
FU021011,LEAD07891,2024-02-21,WhatsApp,Post-Visit Feedback,Neutral
FU021012,LEAD07891,2024-03-02,Loan Assistance,Loan Guidance,Requested Callback
FU021013,LEAD07891,2024-03-14,Call,Introduction,Interested
FU021014,LEAD07892,2024-03-08,Call,Introduction,No Response
FU021015,LEAD07892,2024-03-13,Email,Booking Confirmation,Interested
FU021016,LEAD07892,2024-03-25,WhatsApp,Document Collection,Neutral
FU021017,LEAD07892,2024-04-11,Call,Booking Confirmation,Neutral
FU021018,LEAD07892,2024-04-25,Payment Discussion,Payment Follow-up,Not Interested
FU021019,LEAD07892,2024-05-10,Payment Discussion,Payment Follow-up,Requested Callback
FU021020,LEAD07893,2024-04-25,Meeting,Introduction,Not Interested
FU021021,LEAD07894,2026-11-27,WhatsApp,Introduction,No Response
FU021022,LEAD07894,2026-12-12,Payment Discussion,Payment Follow-up,Neutral
FU021023,LEAD07894,2026-12-30,Meeting,Booking Confirmation,Converted
FU021024,LEAD07895,2026-12-31,WhatsApp,Introduction,Not Interested
FU021025,LEAD07896,2026-03-26,Call,Introduction,Interested
FU021026,LEAD07896,2026-04-23,Call,Payment Follow-up,Interested
FU021027,LEAD07896,2026-05-10,Payment Discussion,Payment Follow-up,Neutral
FU021028,LEAD07897,2026-12-21,Call,Introduction,Requested Callback
FU021029,LEAD07898,2026-12-31,Meeting,Introduction,Not Interested
FU021030,LEAD07899,2025-01-15,Email,Introduction,Interested
FU021031,LEAD07899,2025-01-22,WhatsApp,Interest Check,Interested
FU021032,LEAD07900,2025-07-13,Site Visit Reminder,Site Visit Invitation,Interested
FU021033,LEAD07900,2025-08-06,WhatsApp,Site Visit Invitation,Requested Callback
FU021034,LEAD07900,2025-08-30,Call,Booking Confirmation,Neutral
FU021035,LEAD07900,2025-09-13,Call,Interest Check,Neutral
FU021036,LEAD07901,2025-10-30,Call,Introduction,Neutral
FU021037,LEAD07901,2025-11-14,Email,Site Visit Invitation,Not Interested
FU021038,LEAD07902,2024-06-21,Loan Assistance,Loan Guidance,Neutral
FU021039,LEAD07902,2024-06-21,Loan Assistance,Loan Guidance,Neutral
FU021040,LEAD07902,2024-07-05,Call,Interest Check,Neutral
FU021041,LEAD07902,2024-07-31,Payment Discussion,Payment Follow-up,Neutral
FU021042,LEAD07902,2024-08-22,Site Visit Reminder,Site Visit Invitation,Interested
FU021043,LEAD07902,2024-09-17,Email,Re-engagement,Requested Callback
FU021044,LEAD07903,2026-09-23,Email,Introduction,Neutral
FU021045,LEAD07903,2026-10-05,WhatsApp,Introduction,Interested
FU021046,LEAD07904,2025-02-24,Site Visit Reminder,Site Visit Invitation,Not Interested
FU021047,LEAD07905,2025-09-16,Site Visit Reminder,Site Visit Invitation,Not Interested
FU021048,LEAD07905,2025-10-05,Email,Re-engagement,Requested Callback
FU021049,LEAD07906,2024-05-20,Meeting,Introduction,Not Interested
FU021050,LEAD07906,2024-06-06,Call,Re-engagement,Not Interested
FU021051,LEAD07906,2024-06-18,Call,Price Negotiation,Neutral
FU021052,LEAD07906,2024-06-28,WhatsApp,Re-engagement,Interested
FU021053,LEAD07906,2024-07-19,Meeting,Interest Check,Interested
FU021054,LEAD07907,2025-11-26,WhatsApp,Introduction,Neutral
FU021055,LEAD07907,2025-12-01,Call,Booking Confirmation,Neutral
FU021056,LEAD07907,2025-12-16,Call,Site Visit Invitation,Interested
FU021057,LEAD07907,2026-01-06,Loan Assistance,Loan Guidance,Not Interested
FU021058,LEAD07907,2026-01-25,Loan Assistance,Loan Guidance,Neutral
FU021059,LEAD07907,2026-02-15,Site Visit Reminder,Site Visit Invitation,Neutral
FU021060,LEAD07908,2026-12-06,Loan Assistance,Loan Guidance,Requested Callback
FU021061,LEAD07909,2025-12-11,WhatsApp,Introduction,Neutral
FU021062,LEAD07909,2025-12-11,WhatsApp,Introduction,Neutral
FU021063,LEAD07910,2026-05-09,WhatsApp,Introduction,Not Interested
FU021064,LEAD07910,2026-06-02,Loan Assistance,Loan Guidance,Not Interested
FU021065,LEAD07911,2026-12-06,Site Visit Reminder,Site Visit Invitation,No Response
FU021066,LEAD07912,2026-12-31,Loan Assistance,Loan Guidance,Neutral
FU021067,LEAD07913,2025-03-03,Call,Introduction,Interested
FU021068,LEAD07913,2025-03-28,Call,Site Visit Invitation,Neutral
FU021069,LEAD07914,2026-12-19,Call,Introduction,Not Interested
FU021070,LEAD07915,2025-01-28,WhatsApp,Introduction,No Response
FU021071,LEAD07916,2025-05-12,Meeting,Introduction,Neutral
FU021072,LEAD07916,2025-06-10,Call,Site Visit Invitation,Neutral
FU021073,LEAD07916,2025-07-08,Site Visit Reminder,Site Visit Invitation,No Response
FU021074,LEAD07916,2025-07-21,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU021075,LEAD07916,2025-07-26,Call,Site Visit Invitation,No Response
FU021076,LEAD07917,2026-06-04,Call,Introduction,Requested Callback
FU021077,LEAD07918,2025-03-29,Email,Introduction,No Response
FU021078,LEAD07918,2025-04-25,WhatsApp,Introduction,Interested
FU021079,LEAD07919,2024-03-12,Call,Introduction,Neutral
FU021080,LEAD07919,2024-03-25,Call,Introduction,Interested
FU021081,LEAD07919,2024-04-01,Email,Re-engagement,Not Interested
FU021082,LEAD07920,2025-04-09,WhatsApp,Introduction,No Response
FU021083,LEAD07920,2025-04-09,WhatsApp,Introduction,No Response
FU021084,LEAD07920,2025-05-01,Call,Re-engagement,Neutral
FU021085,LEAD07921,2025-07-29,Call,Introduction,Neutral
FU021086,LEAD07921,2025-08-27,Email,Price Negotiation,Neutral
FU021087,LEAD07921,2025-09-14,WhatsApp,Interest Check,Interested
FU021088,LEAD07922,2026-10-19,Meeting,Introduction,Not Interested
FU021089,LEAD07923,2024-08-20,WhatsApp,Introduction,Interested
FU021090,LEAD07923,2024-09-07,Call,Interest Check,Interested
FU021091,LEAD07923,2024-10-06,Call,Booking Confirmation,Not Interested
FU021092,LEAD07923,2024-11-04,Loan Assistance,Loan Guidance,Not Interested
FU021093,LEAD07924,2025-06-11,Email,Introduction,Neutral
FU021094,LEAD07924,2025-06-23,Call,Document Collection,No Response
FU021095,LEAD07924,2025-07-02,Call,Site Visit Invitation,Not Interested
FU021096,LEAD07925,2025-08-13,Meeting,Introduction,Neutral
FU021097,LEAD07925,2025-08-21,Payment Discussion,Payment Follow-up,Converted
FU021098,LEAD07926,2026-07-25,Meeting,Introduction,Interested
FU021099,LEAD07926,2026-08-13,Call,Loan Guidance,No Response
FU021100,LEAD07926,2026-08-31,Call,Interest Check,No Response
FU021101,LEAD07926,2026-09-05,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU021102,LEAD07926,2026-10-01,Call,Booking Confirmation,Requested Callback
FU021103,LEAD07927,2026-12-17,Site Visit Reminder,Site Visit Invitation,Not Interested
FU021104,LEAD07928,2026-12-31,Site Visit Reminder,Site Visit Invitation,No Response
FU021105,LEAD07929,2026-07-06,Meeting,Introduction,Not Interested
FU021106,LEAD07929,2026-07-31,Call,Site Visit Invitation,Not Interested
FU021107,LEAD07930,2026-12-31,WhatsApp,Introduction,Neutral
FU021108,LEAD07931,2026-12-31,Payment Discussion,Payment Follow-up,Interested
FU021109,LEAD07932,2024-02-22,Loan Assistance,Loan Guidance,Neutral
FU021110,LEAD07932,2024-03-02,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU021111,LEAD07932,2024-03-17,WhatsApp,Payment Follow-up,Not Interested
FU021112,LEAD07932,2024-03-30,Call,Interest Check,Requested Callback
FU021113,LEAD07933,2024-12-03,Call,Introduction,Requested Callback
FU021114,LEAD07934,2025-06-03,Email,Introduction,Neutral
FU021115,LEAD07934,2025-06-24,Call,Booking Confirmation,Neutral
FU021116,LEAD07934,2025-07-22,Call,Interest Check,Not Interested
FU021117,LEAD07935,2025-02-07,Call,Introduction,Neutral
FU021118,LEAD07935,2025-03-08,Call,Interest Check,Neutral
FU021119,LEAD07935,2025-03-08,Call,Interest Check,Neutral
FU021120,LEAD07935,2025-03-25,Call,Site Visit Invitation,Neutral
FU021121,LEAD07935,2025-03-30,Loan Assistance,Loan Guidance,Neutral
FU021122,LEAD07935,2025-04-05,WhatsApp,Payment Follow-up,Interested
FU021123,LEAD07936,2026-03-10,WhatsApp,Introduction,No Response
FU021124,LEAD07936,2026-03-28,WhatsApp,Introduction,Interested
FU021125,LEAD07936,2026-04-12,Meeting,Site Visit Invitation,Interested
FU021126,LEAD07936,2026-04-16,Payment Discussion,Payment Follow-up,No Response
FU021127,LEAD07936,2026-04-28,Meeting,Introduction,Neutral
FU021128,LEAD07936,2026-05-15,Loan Assistance,Loan Guidance,Converted
FU021129,LEAD07937,2024-12-27,Call,Introduction,No Response
FU021130,LEAD07937,2025-01-03,Site Visit Reminder,Site Visit Invitation,Interested
FU021131,LEAD07938,2025-08-01,Loan Assistance,Loan Guidance,Not Interested
FU021132,LEAD07938,2025-08-28,WhatsApp,Introduction,No Response
FU021133,LEAD07938,2025-09-21,Site Visit Reminder,Site Visit Invitation,Not Interested
FU021134,LEAD07939,2024-08-17,WhatsApp,Introduction,No Response
FU021135,LEAD07939,2024-08-31,Call,Payment Follow-up,No Response
FU021136,LEAD07939,2024-09-20,Email,Interest Check,No Response
FU021137,LEAD07939,2024-09-20,Email,Interest Check,No Response
FU021138,LEAD07940,2025-06-10,Loan Assistance,Loan Guidance,No Response
FU021139,LEAD07940,2025-06-24,Meeting,Interest Check,Requested Callback
FU021140,LEAD07941,2026-07-19,Loan Assistance,Loan Guidance,Not Interested
FU021141,LEAD07941,2026-08-01,Email,Payment Follow-up,Neutral
FU021142,LEAD07942,2025-11-29,Meeting,Introduction,Neutral
FU021143,LEAD07942,2025-12-11,Call,Post-Visit Feedback,No Response
FU021144,LEAD07942,2026-01-06,WhatsApp,Interest Check,Requested Callback
FU021145,LEAD07942,2026-01-16,Email,Post-Visit Feedback,Neutral
FU021146,LEAD07942,2026-01-16,Email,Post-Visit Feedback,Neutral
FU021147,LEAD07942,2026-02-05,WhatsApp,Price Negotiation,Interested
FU021148,LEAD07943,2026-05-02,Loan Assistance,Loan Guidance,Neutral
FU021149,LEAD07943,2026-05-19,Site Visit Reminder,Site Visit Invitation,Not Interested
FU021150,LEAD07943,2026-05-19,Site Visit Reminder,Site Visit Invitation,Not Interested
FU021151,LEAD07943,2026-06-05,Site Visit Reminder,Site Visit Invitation,No Response
FU021152,LEAD07944,2026-12-31,Call,Introduction,Not Interested
FU021153,LEAD07945,2025-04-09,Call,Introduction,Neutral
FU021154,LEAD07946,2025-03-02,Site Visit Reminder,Site Visit Invitation,Neutral
FU021155,LEAD07947,2026-02-24,WhatsApp,Introduction,No Response
FU021156,LEAD07947,2026-03-06,Call,Document Collection,Neutral
FU021157,LEAD07947,2026-03-11,Call,Site Visit Invitation,Not Interested
FU021158,LEAD07948,2024-06-09,Meeting,Introduction,Interested
FU021159,LEAD07949,2024-11-15,Call,Introduction,Requested Callback
FU021160,LEAD07949,2024-12-11,Email,Introduction,Interested
FU021161,LEAD07949,2024-12-11,Email,Introduction,Interested
FU021162,LEAD07949,2024-12-30,Meeting,Introduction,Neutral
FU021163,LEAD07949,2025-01-18,WhatsApp,Re-engagement,Interested
FU021164,LEAD07949,2025-02-09,WhatsApp,Booking Confirmation,Interested
FU021165,LEAD07950,2026-04-24,Call,Introduction,Not Interested
FU021166,LEAD07951,2026-05-09,Call,Introduction,Requested Callback
FU021167,LEAD07952,2026-08-01,WhatsApp,Introduction,No Response
FU021168,LEAD07952,2026-08-10,WhatsApp,Introduction,No Response
FU021169,LEAD07952,2026-08-19,Meeting,Re-engagement,Not Interested
FU021170,LEAD07952,2026-08-28,Call,Post-Visit Feedback,Not Interested
FU021171,LEAD07952,2026-09-14,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU021172,LEAD07952,2026-09-26,Meeting,Payment Follow-up,Not Interested
FU021173,LEAD07952,2026-10-11,Loan Assistance,Loan Guidance,Converted
FU021174,LEAD07952,2026-10-11,Loan Assistance,Loan Guidance,Converted
FU021175,LEAD07953,2026-12-31,Site Visit Reminder,Site Visit Invitation,Interested
FU021176,LEAD07954,2024-10-09,Meeting,Introduction,Not Interested
FU021177,LEAD07955,2026-07-19,Email,Introduction,Not Interested
FU021178,LEAD07956,2026-12-31,Call,Introduction,No Response
FU021179,LEAD07957,2026-12-26,WhatsApp,Introduction,Neutral
FU021180,LEAD07958,2026-07-22,Call,Introduction,Neutral
FU021181,LEAD07958,2026-07-22,Call,Introduction,Neutral
FU021182,LEAD07958,2026-08-08,WhatsApp,Interest Check,Not Interested
FU021183,LEAD07959,2025-12-05,Email,Introduction,Interested
FU021184,LEAD07960,2026-01-30,Loan Assistance,Loan Guidance,No Response
FU021185,LEAD07960,2026-01-30,Loan Assistance,Loan Guidance,No Response
FU021186,LEAD07961,2025-11-25,Call,Introduction,Not Interested
FU021187,LEAD07962,2026-09-22,Call,Introduction,Neutral
FU021188,LEAD07962,2026-09-30,Payment Discussion,Payment Follow-up,Interested
FU021189,LEAD07962,2026-10-17,Loan Assistance,Loan Guidance,Converted
FU021190,LEAD07963,2026-01-03,Email,Introduction,Neutral
FU021191,LEAD07963,2026-01-20,WhatsApp,Re-engagement,Requested Callback
FU021192,LEAD07963,2026-01-25,Call,Re-engagement,Neutral
FU021193,LEAD07963,2026-02-06,Loan Assistance,Loan Guidance,Requested Callback
FU021194,LEAD07963,2026-02-24,Payment Discussion,Payment Follow-up,Converted
FU021195,LEAD07964,2025-07-03,WhatsApp,Introduction,No Response
FU021196,LEAD07964,2025-07-30,Payment Discussion,Payment Follow-up,Neutral
FU021197,LEAD07964,2025-08-20,Call,Document Collection,Interested
FU021198,LEAD07965,2025-11-20,Call,Introduction,Requested Callback
FU021199,LEAD07966,2025-03-21,Call,Introduction,Neutral
FU021200,LEAD07966,2025-04-16,Site Visit Reminder,Site Visit Invitation,Not Interested
FU021201,LEAD07967,2024-03-03,WhatsApp,Introduction,Neutral
FU021202,LEAD07967,2024-03-12,Payment Discussion,Payment Follow-up,Neutral
FU021203,LEAD07967,2024-03-29,Payment Discussion,Payment Follow-up,Interested
FU021204,LEAD07967,2024-04-16,WhatsApp,Document Collection,Neutral
FU021205,LEAD07967,2024-04-25,Payment Discussion,Payment Follow-up,Requested Callback
FU021206,LEAD07967,2024-05-13,Call,Document Collection,Interested
FU021207,LEAD07968,2026-12-24,Call,Introduction,Interested
FU021208,LEAD07969,2026-12-31,Call,Introduction,Not Interested
FU021209,LEAD07970,2025-12-30,WhatsApp,Introduction,No Response
FU021210,LEAD07971,2025-03-24,WhatsApp,Introduction,Not Interested
FU021211,LEAD07972,2025-04-18,Site Visit Reminder,Site Visit Invitation,Requested Callback
FU021212,LEAD07972,2025-05-06,WhatsApp,Site Visit Invitation,Requested Callback
FU021213,LEAD07972,2025-05-14,Meeting,Price Negotiation,Requested Callback
FU021214,LEAD07972,2025-06-12,Loan Assistance,Loan Guidance,Neutral
FU021215,LEAD07973,2026-06-19,Call,Introduction,Neutral
FU021216,LEAD07974,2026-12-28,Loan Assistance,Loan Guidance,No Response
FU021217,LEAD07975,2025-04-26,Email,Introduction,Requested Callback
